protein_count,vegetable_count,carb_count,junk_count,meal_count,status
0,0,3,2,3,junk_high
0,1,3,2,3,junk_high
1,0,2,0,2,protein_low
1,1,2,0,2,protein_low
1,0,3,1,3,protein_low
2,0,2,0,3,vegetable_low
2,0,3,0,3,vegetable_low
3,0,2,0,3,vegetable_low
2,2,2,0,3,balanced
3,2,2,0,3,balanced
2,3,2,0,3,balanced
3,3,2,0,4,balanced
0,0,2,3,3,junk_high
1,1,3,2,4,junk_high
1,0,1,0,2,protein_low
2,0,1,0,2,vegetable_low
2,2,1,0,2,balanced
3,2,3,0,4,balanced
0,1,2,2,3,junk_high
1,0,2,1,2,protein_low
2,0,2,1,3,vegetable_low
2,1,2,0,3,balanced
3,1,2,0,3,balanced
1,2,2,0,3,protein_low
0,2,3,1,3,protein_low
3,0,3,1,4,vegetable_low
2,3,1,0,3,balanced
3,2,1,0,3,balanced
1,1,1,2,3,junk_high
0,0,1,2,2,junk_high